TRINITY_DN1019_c0_g1::TRINITY_DN1019_c0_g1_i2::g.1646::m.1646	755122ef9ff137d712c5c547d2c3ff93	175	SMART	SM00034		31	165	2.2E-27	T	03-12-2019	IPR001304	C-type lectin-like
TRINITY_DN1019_c0_g1::TRINITY_DN1019_c0_g1_i2::g.1646::m.1646	755122ef9ff137d712c5c547d2c3ff93	175	SUPERFAMILY	SSF56436		16	168	4.22E-36	T	03-12-2019	IPR016187	C-type lectin fold
TRINITY_DN1019_c0_g1::TRINITY_DN1019_c0_g1_i2::g.1646::m.1646	755122ef9ff137d712c5c547d2c3ff93	175	Pfam	PF00059	Lectin C-type domain	53	165	1.6E-15	T	03-12-2019	IPR001304	C-type lectin-like
TRINITY_DN1019_c0_g1::TRINITY_DN1019_c0_g1_i2::g.1646::m.1646	755122ef9ff137d712c5c547d2c3ff93	175	ProSiteProfiles	PS50041	C-type lectin domain profile.	44	154	19.687	T	03-12-2019	IPR001304	C-type lectin-like
TRINITY_DN1019_c0_g1::TRINITY_DN1019_c0_g1_i2::g.1646::m.1646	755122ef9ff137d712c5c547d2c3ff93	175	Gene3D	G3DSA:3.10.100.10		17	172	3.8E-35	T	03-12-2019	IPR016186	C-type lectin-like/link domain superfamily
TRINITY_DN10129_c0_g1::TRINITY_DN10129_c0_g1_i1::g.5138::m.5138	5c5b9430559e00a8d816ce297c1769ce	115	Gene3D	G3DSA:3.30.70.330		14	106	2.8E-24	T	03-12-2019	IPR012677	Nucleotide-binding alpha-beta plait domain superfamily
TRINITY_DN10129_c0_g1::TRINITY_DN10129_c0_g1_i1::g.5138::m.5138	5c5b9430559e00a8d816ce297c1769ce	115	Pfam	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	23	87	1.1E-11	T	03-12-2019	IPR000504	RNA recognition motif domain
TRINITY_DN10129_c0_g1::TRINITY_DN10129_c0_g1_i1::g.5138::m.5138	5c5b9430559e00a8d816ce297c1769ce	115	SMART	SM00360		22	98	3.2E-5	T	03-12-2019	IPR000504	RNA recognition motif domain
TRINITY_DN10129_c0_g1::TRINITY_DN10129_c0_g1_i1::g.5138::m.5138	5c5b9430559e00a8d816ce297c1769ce	115	ProSiteProfiles	PS50102	Eukaryotic RNA Recognition Motif (RRM) profile.	21	102	13.328	T	03-12-2019	IPR000504	RNA recognition motif domain
TRINITY_DN10129_c0_g1::TRINITY_DN10129_c0_g1_i1::g.5138::m.5138	5c5b9430559e00a8d816ce297c1769ce	115	SUPERFAMILY	SSF54928		8	108	7.39E-16	T	03-12-2019	IPR035979	RNA-binding domain superfamily
TRINITY_DN1024_c0_g1::TRINITY_DN1024_c0_g1_i1::g.1609::m.1609	ee970e235eb981779fc283e0021ec9d1	144	MobiDBLite	mobidb-lite	consensus disorder prediction	1	52	-	T	03-12-2019
TRINITY_DN1024_c0_g1::TRINITY_DN1024_c0_g1_i1::g.1609::m.1609	ee970e235eb981779fc283e0021ec9d1	144	ProSiteProfiles	PS50060	MAM domain profile.	54	144	19.948	T	03-12-2019	IPR000998	MAM domain
